Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Tot.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Tot,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
192.168.14.155-34.209.199.162-56546-443-6,34.209.199.162,443,192.168.14.155,56546,6,29/11/2019 02:48:04 PM,323,0,3,0.0,62.0,0,0,0,0,31.0,0.0,20.666666666666664,17.8978583448784,191950.46439628483,9287.925696594428,161.5,188.79751057680818,295.0,28.0,0,0,0,0,0,323.0,161.5,188.79751057680818,295.0,28.0,0,1,0,0,0,96,0.0,9287.925696594428,0.0,31.0,23.25,15.5,240.25,1,0,0,2,3,0,0,0,0.0,31.0,0.0,20.666666666666668,0,0,0,0,0,0,0,0,1,20,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-74.125.167.91-40516-443-6,192.168.14.155,40516,74.125.167.91,443,6,29/11/2019 02:48:03 PM,9786492,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3065449805711791,4893246.0,6900795.084742192,9772845.0,13647.0,0,0,0,0,0,9786492.0,4893246.0,6900795.084742192,9772845.0,13647.0,0,0,0,0,0,96,0.0,0.3065449805711791,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,-1,280,0,0,0,0,0,0,9759198.0,0.0,9759198.0,9759198.0,No Label
192.168.14.155-74.125.167.91-40516-443-6,192.168.14.155,40516,74.125.167.91,443,6,29/11/2019 02:48:13 PM,26,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1192307.6923076925,76923.07692307692,26.0,0.0,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,38461.53846153846,38461.53846153846,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,0,0,0,15,-1,7377,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-54.192.151.77-55670-443-6,192.168.14.155,55670,54.192.151.77,443,6,29/11/2019 02:48:28 PM,168599,8,6,981.0,3715.0,517.0,0.0,122.625,198.96657113337264,1448.0,0.0,619.1666666666667,716.0956407259205,27853.07148915474,83.03726593870664,12969.153846153848,29152.115028605138,79485.0,7.0,90800.0,12971.42857142857,30435.72953978675,81955.0,81.0,164477.0,32895.4,43143.832129285875,82503.0,897.0,0,0,0,0,256,208,47.4498662506895,35.58739968801713,0.0,1448.0,313.06666666666666,520.3993612967787,270815.49523809523,1,2,0,4,13,0,0,0,0.0,335.42857142857144,122.625,619.1666666666666,0,0,0,0,6,54318,0,70,0,265,-1,118,3,0,0,0,0,0,1.5750209087984835E15,54885.105567633844,1.575020908832189E15,1.575020908665147E15,No Label
192.168.14.155-54.192.151.77-55670-443-6,54.192.151.77,443,192.168.14.155,55670,6,29/11/2019 02:48:28 PM,2109,3,3,273.0,0.0,242.0,0.0,91.0,131.68523075880606,0.0,0.0,0.0,0.0,129445.23470839259,2844.950213371266,421.79999999999995,483.48185074519597,1178.0,31.0,1494.0,747.0,680.2367235014588,1228.0,266.0,1874.0,937.0,384.66608896548183,1209.0,665.0,0,0,0,0,96,72,1422.475106685633,1422.475106685633,0.0,242.0,39.0,90.25704035327846,8146.333333333335,1,0,2,2,4,0,0,0,1.0,45.5,91.0,0.0,0,0,0,0,0,0,0,45,0,0,-1,0,2,0,0,0,0,0,1.5750209089112552E15,881.1710011872459,1.575020908912202E15,1.575020908910459E15,No Label
172.217.169.238-192.168.14.155-443-34472-6,192.168.14.155,34472,172.217.169.238,443,6,29/11/2019 02:48:33 PM,22250,3,2,627.0,0.0,627.0,0.0,209.0,361.99861878189535,0.0,0.0,0.0,0.0,28179.775280898877,224.71910112359552,5562.5,6519.727524981392,13945.0,31.0,8274.0,4137.0,4753.171783135973,7498.0,776.0,13945.0,13945.0,0.0,13945.0,13945.0,0,0,0,0,96,80,134.8314606741573,89.88764044943821,0.0,627.0,104.5,255.9716781208421,65521.5,1,2,0,1,4,0,0,0,0.0,125.4,209.0,0.0,0,0,0,0,0,0,0,125,0,0,-1,60192,1,0,0,0,0,0,1.575020913569233E15,10387.398615630384,1.575020913576578E15,1.575020913561888E15,No Label
172.217.169.238-192.168.14.155-443-34472-6,172.217.169.238,443,192.168.14.155,34472,6,29/11/2019 02:48:33 PM,6418,2,2,212.0,0.0,212.0,0.0,106.0,149.90663761154806,0.0,0.0,0.0,0.0,33032.09722655033,623.2471174820816,2139.333333333333,2961.3669703927835,5525.0,31.0,5556.0,5556.0,0.0,5556.0,5556.0,893.0,893.0,0.0,893.0,893.0,0,0,0,0,64,52,311.6235587410408,311.6235587410408,0.0,212.0,42.4,94.80928224599108,8988.8,1,0,1,1,3,0,0,0,1.0,53.0,106.0,0.0,0,0,0,0,0,0,0,53,0,0,-1,0,1,0,0,0,0,0,1.57502091359158E15,0.0,1.57502091359158E15,1.57502091359158E15,No Label
151.139.128.14-192.168.14.239-80-1419-6,151.139.128.14,80,192.168.14.239,1419,6,29/11/2019 02:48:39 PM,9395,3,1,512.0,0.0,512.0,0.0,170.66666666666669,295.6033378250884,0.0,0.0,0.0,0.0,54497.07291112294,425.75838211814795,3131.666666666667,4771.966296332502,8625.0,12.0,8637.0,4318.5,6090.310706359734,8625.0,12.0,0,0,0,0,0,0,0,0,0,60,32,319.3187865886109,106.43959552953699,0.0,512.0,102.4,228.97336089597846,52428.8,1,1,0,1,4,0,0,0,0.0,128.0,170.66666666666666,0.0,0,0,0,0,0,0,0,128,0,0,-1,65228,1,0,0,0,0,0,1.575020919705103E15,0.0,1.575020919705103E15,1.575020919705103E15,No Label
192.168.14.155-52.39.125.254-39384-443-6,192.168.14.155,39384,52.39.125.254,443,6,29/11/2019 02:49:19 PM,8774414,3,3,31.0,31.0,31.0,0.0,10.333333333333332,17.8978583448784,31.0,0.0,10.333333333333334,17.8978583448784,7.065998937364934,0.6838063487772517,1754882.8,3747341.064867755,8453741.0,27.0,321.0,160.5,188.79751057680818,294.0,27.0,8774040.0,4387020.0,5751211.992587475,8453741.0,320299.0,0,0,0,0,96,96,0.34190317438862583,0.34190317438862583,0.0,31.0,8.857142857142858,15.126451130702266,228.80952380952385,1,0,0,2,6,0,0,0,1.0,10.333333333333334,10.333333333333334,10.333333333333334,0,0,0,0,0,0,0,5,0,5,-1,125,1,0,0,0,0,0,1.5750209651088638E15,4791043.869438302,1.575020968033722E15,1.57502095957974E15,No Label
192.168.14.155-52.39.125.254-39382-443-6,192.168.14.155,39382,52.39.125.254,443,6,29/11/2019 02:49:10 PM,19563606,4,4,31.0,31.0,31.0,0.0,7.75,15.500000000000002,31.0,0.0,7.75,15.5,3.1691499000746592,0.40892256775156893,2794800.857142857,4585024.6062754635,1.0189982E7,34.0,9067651.0,3022550.333333333,5234983.848010453,9067389.0,34.0,1.9563308E7,6521102.666666667,5451638.916760751,1.0494398E7,305973.0,0,0,0,0,128,128,0.20446128387578447,0.20446128387578447,0.0,31.0,6.888888888888889,13.669715107167052,186.86111111111111,1,0,0,2,8,0,0,0,1.0,7.75,7.75,7.75,0,0,0,0,0,0,0,3,0,3,-1,134,1,0,0,0,0,0,1.5750209626400562E15,7815068.7230207445,1.575020970118951E15,1.575020951165804E15,No Label
